structured_description;solution
First<act>bring in defective computer</act>. When<act>check defect</act> , <act>hand out repair cost calculation</act>. If the customer decides that the costs are acceptable, <act>pay bill</act>. <act>take computer</act>.; <act> bring in defective computer </act> <act> check defect </act> <act> hand out repair cost calculation </act> <path1></path1><path2><act> take computer home unrepaired </act></path2>
There may be either a financial reward or an other benefit. Regarding the latter, <act>choose appropriate benefit</act>. If the reward is financial, <act>calculate reward</act>.;  <path1><act> choose appropriate benefit </act></path1><path2><act> calculate and pay reward </act></path2>
There may be either a financial reward or an other benefit. If the reward is non financial, <act>choose appropriate benefit</act>. If the reward is financial, <act>calculate reward</act>.;  <path1><act> choose appropriate benefit </act></path1><path2><act> calculate and pay reward </act></path2>
There may be either a financial reward or an other benefit. In case the reward is non financial, <act>choose appropriate benefit</act>. If the reward is financial, <act>calculate reward</act>.;  <path1><act> choose appropriate benefit </act></path1><path2><act> calculate and pay reward </act></path2>
There may be either a financial reward or an other benefit. Regarding the latter, <act>choose appropriate benefit</act>. If the reward is financial, <act>calculate reward</act>.;  <path1><act> choose appropriate benefit </act></path1><path2><act> calculate and pay reward </act></path2>
There may be either a financial reward or an other benefit. If the reward is non financial, <act>choose appropriate benefit</act>. In case the reward is financial, <act>calculate reward</act>.;  <path1><act> choose appropriate benefit </act></path1><path2><act> calculate and pay reward </act></path2>
Initially<act>provide training in turn</act>. Afterwards, the hr dismisses the employee.; <act> provide training </act> <act> dismiss employee </act>
First<act>provide first training in turn</act>. <act>dismiss employee</act>.; <act> provide training </act> <act> dismiss employee </act>
First<act>provide first training in turn</act>. <act>dismiss employee</act>.; <act> provide training </act> <act> dismiss employee </act>
Initially<act>provide training in turn</act>. Next<act>dismiss employee</act>.; <act> provide training </act> <act> dismiss employee </act>
The process starts when<act>provide </act>. <act>dismiss employee</act>.; <act> provide training </act> <act> dismiss employee </act>
A paypal client wants <act>pay </act> and has selected this as payment option. For bank account addition, first, <act>compare values</act>. If the values match, <act>consider bank account</act> as confirmed. Whenever the values do not match, <act>remove bank account</act>, i.e. the bank account could not be confirmed.;  <act> enter all relevant bank details </act> <act> click continue </act>  <act> make two random deposits </act> <act> send message </act>  <act> notify PayPal client </act> <act> check for deposits </act> <act> log into PayPal account </act> <act> enter amounts </act> <act> click verify </act> <act> compare values </act> <path1><act> consider bank account as confirmed </act></path1><path2><act> remove bank account </act></path2>
A paypal client wants <act>pay </act> and has selected this as payment option. For bank account addition, first, <act>compare values</act>. Whenever the values match, <act>consider bank account</act> as confirmed. If the values do not match, <act>remove bank account</act>, i.e. the bank account could not be confirmed.;  <act> enter all relevant bank details </act> <act> click continue </act>  <act> make two random deposits </act> <act> send message </act>  <act> notify PayPal client </act> <act> check for deposits </act> <act> log into PayPal account </act> <act> enter amounts </act> <act> click verify </act> <act> compare values </act> <path1><act> consider bank account as confirmed </act></path1><path2><act> remove bank account </act></path2>
A paypal client wants <act>pay </act> and has selected this as payment option. For bank account addition, first, <act>compare values</act>s PayPal account. If the values do not match, <act>remove bank account</act>, i.e. the bank account could not be confirmed.;  <act> enter all relevant bank details </act> <act> click continue </act>  <act> make two random deposits </act> <act> send message </act>  <act> notify PayPal client </act> <act> check for deposits </act> <act> log into PayPal account </act> <act> enter amounts </act> <act> click verify </act> <act> compare values </act> <path1><act> link bank account to account </act></path1><path2><act> remove bank account </act></path2>
A paypal client wants <act>pay </act> and has selected this as payment option. For bank account addition, first, <act>compare values</act>s PayPal account. If the values do not match, <act>remove bank account</act>, i.e. the bank account could not be confirmed.;  <act> enter all relevant bank details </act> <act> click continue </act>  <act> make two random deposits </act> <act> send message </act>  <act> notify PayPal client </act> <act> check for deposits </act> <act> log into PayPal account </act> <act> enter amounts </act> <act> click verify </act> <act> compare values </act> <path1><act> link bank account to account </act></path1><path2><act> remove bank account </act></path2>
A paypal client wants <act>pay </act> and has selected this as payment option. For bank account addition, first, <act>compare values</act>s PayPal account. Whenever the values do not match, <act>remove bank account</act>, i.e. the bank account could not be confirmed.;  <act> enter all relevant bank details </act> <act> click continue </act>  <act> make two random deposits </act> <act> send message </act>  <act> notify PayPal client </act> <act> check for deposits </act> <act> log into PayPal account </act> <act> enter amounts </act> <act> click verify </act> <act> compare values </act> <path1><act> link bank account to account </act></path1><path2><act> remove bank account </act></path2>
<act>start process</act>. The availability of products and <act>check credit rating</act>first. If the credit rating is higher than 9000 (according to Schufa) , <act>call registration</act> unsuccessful. If not , the interim customer dataset record is created. After this, one of two options is executed:  . either, a device provision is performed. either, a customer account is registered at ISP nodes. Once one of these tasks is finished <act>create welcome package</act>. This welcome package alerts them that the registration process was completed successfully.; <act> fill out registration form </act> <act> check availability and credit rating </act> <path1><act> call registration unsuccessful </act></path1><path2><act> create interim customer dataset record </act></path2>  <path1><act> perform device provision </act></path1><path2><act> register customer account </act></path2> <act> create and send welcome package </act> 
<act>start process</act>. The availability of products and <act>check credit rating</act>first. If the credit rating is higher than 9000 (according to Schufa) , <act>call registration</act> unsuccessful. Whenever not , <act>create interim customer dataset record</act>. After this, one of two options is executed:  . either, a device provision is performed. either, a customer account is registered at ISP nodes. Once one of these tasks is finished <act>create welcome package</act>. This welcome package alerts them that the registration process was completed successfully.; <act> fill out registration form </act> <act> check availability and credit rating </act> <path1><act> call registration unsuccessful </act></path1><path2><act> create interim customer dataset record </act></path2>  <path1><act> perform device provision </act></path1><path2><act> register customer account </act></path2> <act> create and send welcome package </act> 
<act>start process</act>. The availability of products and <act>check credit rating</act>first. Whenever the credit rating is higher than 9000 (according to Schufa) , <act>call registration</act> unsuccessful. Whenever not , <act>create interim customer dataset record</act>. After this, one of two options is executed:  . either, a device provision is performed. either, a customer account is registered at ISP nodes. Once one of these tasks is finished <act>create welcome package</act>. This welcome package alerts them that the registration process was completed successfully.; <act> fill out registration form </act> <act> check availability and credit rating </act> <path1><act> call registration unsuccessful </act></path1><path2><act> create interim customer dataset record </act></path2>  <path1><act> perform device provision </act></path1><path2><act> register customer account </act></path2> <act> create and send welcome package </act> 
<act>start process</act>. The availability of products and <act>check credit rating</act>first. Whenever the credit rating is higher than 9000 (according to Schufa) , <act>call registration</act> unsuccessful. <act>create interim customer dataset record</act> and sent to the customer. This welcome package alerts them that the registration process was completed successfully.; <act> fill out registration form </act> <act> check availability and credit rating </act> <path1><act> call registration unsuccessful </act></path1><path2><act> create interim customer dataset record </act></path2>  <path1><act> perform device provision </act></path1><path2><act> register customer account </act></path2> <act> create and send welcome package </act> 
<act>start process</act>. The availability of products and <act>check credit rating</act>first. If the credit rating is higher than 9000 (according to Schufa) , <act>call registration</act> unsuccessful. <act>create interim customer dataset record</act> and sent to the customer. This welcome package alerts them that the registration process was completed successfully.; <act> fill out registration form </act> <act> check availability and credit rating </act> <path1><act> call registration unsuccessful </act></path1><path2><act> create interim customer dataset record </act></path2>  <path1><act> perform device provision </act></path1><path2><act> register customer account </act></path2> <act> create and send welcome package </act> 
In the process of <act>add credit card</act> the user has <act>input credit card details</act>. Next,<act>check billing address</act>. Whenever it is incorrect , <act>update address</act>. If it is correct, the process continues. Next, the user needs <act>click continue button</act> to move forward. <act>verify credit card</act>. The result is then checked. Whenever The result is validated , <act>add credit card</act>. Whenever the result is not validated , <act>cancel addition</act>.; <act> input credit card details </act> <act> check billing address </act> <path1><act> update address </act></path1>  <act> click continue button </act> <act> verify credit card </act> <act> check result </act> <path1><act> add credit card </act></path1><path2><act> cancel addition </act></path2>
In the process of <act>add credit card</act> the user has <act>input credit card details</act>. After that,<act>check billing address</act>. If it is incorrect , <act>update address</act>. If it is correct, the process continues. The user needs <act>click continue button</act> to move forward. <act>verify credit card</act>. The result is then checked. In case The result is validated , <act>add credit card</act>. If the result is not validated , <act>cancel addition</act>.; <act> input credit card details </act> <act> check billing address </act> <path1><act> update address </act></path1>  <act> click continue button </act> <act> verify credit card </act> <act> check result </act> <path1><act> add credit card </act></path1><path2><act> cancel addition </act></path2>
In the process of <act>add credit card</act> the user has <act>input credit card details</act>. <act>check billing address</act>. If it is incorrect , <act>update address</act>. If it is correct, the process continues. Next the user needs <act>click continue button</act> to move forward. <act>verify credit card</act>. The result is then checked. If The result is validated , <act>add credit card</act>. If not, the addition is cancelled.; <act> input credit card details </act> <act> check billing address </act> <path1><act> update address </act></path1>  <act> click continue button </act> <act> verify credit card </act> <act> check result </act> <path1><act> add credit card </act></path1><path2><act> cancel addition </act></path2>
In the process of <act>add credit card</act> the user has <act>input credit card details</act>. <act>check billing address</act>. Whenever it is incorrect , <act>update address</act>. If it is correct, the process continues. After that, the user needs <act>click continue button</act> to move forward. <act>verify credit card</act>. The result is then checked. If The result is validated , <act>add credit card</act>. If the result is not validated , <act>cancel addition</act>.; <act> input credit card details </act> <act> check billing address </act> <path1><act> update address </act></path1>  <act> click continue button </act> <act> verify credit card </act> <act> check result </act> <path1><act> add credit card </act></path1><path2><act> cancel addition </act></path2>
In the process of <act>add credit card</act> the user has <act>input credit card details</act>. Next,<act>check billing address</act>. If it is incorrect , <act>update address</act>. If it is correct, the process continues. Afterwards, the user needs <act>click continue button</act> to move forward. <act>verify credit card</act>. The result is then checked. In case The result is validated , <act>add credit card</act>. If not, the addition is cancelled.; <act> input credit card details </act> <act> check billing address </act> <path1><act> update address </act></path1>  <act> click continue button </act> <act> verify credit card </act> <act> check result </act> <path1><act> add credit card </act></path1><path2><act> cancel addition </act></path2>
The process starts with <act>collect data</act>. Before<act>wait business analyst</act> until the design is complete, <act>integrate design</act>. Later<act>check design</act>. If the design needs adjustment , the web designer has <act>change design</act> . In case the design is OK, <act>integrate html specialist</act>. Afterwards, the tester tests the final website to make sure everything is going well. Whenever the test is OK, the process ends. <act>provide test results</act> .; <act> collect data and conduct business analysis </act> <act> wait until design is complete </act> <act> integrate design and decide where the customer feedback module should be placed </act> <act> check design and provide feedback </act> <path1><act> change and integrate design </act></path1><path2><act> integrate with overall implementation </act></path2> <act> test final website </act> <path1></path1><path2><act> provide test results </act></path2>
The process starts with <act>collect data</act>. Before<act>wait business analyst</act> until the design is complete, <act>integrate design</act>. After that,<act>check design</act>. Whenever the design needs adjustment , the web designer has <act>change design</act> . If the design is found to be OK, <act>integrate html specialist</act>. Later<act>test final website</act> to make sure everything is going well. Whenever the test is OK, the process ends. <act>provide test results</act> .; <act> collect data and conduct business analysis </act> <act> wait until design is complete </act> <act> integrate design and decide where the customer feedback module should be placed </act> <act> check design and provide feedback </act> <path1><act> change and integrate design </act></path1><path2><act> integrate with overall implementation </act></path2> <act> test final website </act> <path1></path1><path2><act> provide test results </act></path2>
The process starts with <act>collect data</act>. Before<act>wait business analyst</act> until the design is complete, <act>integrate design</act>. <act>check design</act>. If the design needs adjustment , the web designer has <act>change design</act> . In case the design is OK, <act>integrate html specialist</act>. Afterwards, the tester tests the final website to make sure everything is going well. If the test is OK, the process ends. <act>provide test results</act> .; <act> collect data and conduct business analysis </act> <act> wait until design is complete </act> <act> integrate design and decide where the customer feedback module should be placed </act> <act> check design and provide feedback </act> <path1><act> change and integrate design </act></path1><path2><act> integrate with overall implementation </act></path2> <act> test final website </act> <path1></path1><path2><act> provide test results </act></path2>
The process starts with <act>collect data</act>. Before<act>wait business analyst</act> until the design is complete, <act>integrate design</act>. Afterwards, she checks the design and provides feedback. If the design needs adjustment , the web designer has <act>change design</act> . Whenever the design is found to be OK, <act>integrate html specialist</act>. <act>test final website</act> to make sure everything is going well. If the test is OK, the process ends. <act>provide test results</act> .; <act> collect data and conduct business analysis </act> <act> wait until design is complete </act> <act> integrate design and decide where the customer feedback module should be placed </act> <act> check design and provide feedback </act> <path1><act> change and integrate design </act></path1><path2><act> integrate with overall implementation </act></path2> <act> test final website </act> <path1></path1><path2><act> provide test results </act></path2>
The process starts with <act>collect data</act>. When<act>integrate design</act>, <act>wait business analyst</act>. <act>check design</act>. Whenever an adjustment of the design is required, the web designer has <act>change design</act> . If the design is OK, <act>integrate html specialist</act>. After that,<act>test final website</act> to make sure everything is going well. In case the test is OK, the process ends. <act>provide test results</act> .; <act> collect data and conduct business analysis </act> <act> integrate design and decide where the customer feedback module should be placed </act> <act> wait until design is complete </act> <act> check design and provide feedback </act> <path1><act> change and integrate design </act></path1><path2><act> integrate with overall implementation </act></path2> <act> test final website </act> <path1></path1><path2><act> provide test results </act></path2>
<act>receive invoice</act>. <act>sort invoice per client</act>. Next<act>sort invoice per vendor</act>. Once<act>attache invoice entry form</act>, <act>enter required info on invoice entry form</act>. Next, when<act>obtain missing information</act> the admin office can allocate invoice to deo. If the invoice is not completed , <act>apply red stamp on entry invoice</act>. If the invoice is considered to be complete, <act>enter info for sla</act>. Afterwards, the admin office checks the invoice compliance. If the invoice is complete , <act>allocate invoice</act> . Otherwise, if the invoice is complete, the admin office sends the invoice to experience staff .; <act> receive invoice </act> <act> sort invoice per client </act> <act> sort invoice per vendor </act> <act> attach invoice entry form to invoice </act> <act> enter required info on the invoice entry form </act> <act> allocate invoice to DEO </act> <path1><act> apply red stamp on entry invoice </act></path1><path2><act> enter info for SLA and check priority </act></path2> <act> check invoice compliance </act> <path1><act> allocate invoice to DEO </act></path1><path2><act> send invoice to experience staff </act></path2>
<act>receive invoice</act>. <act>sort invoice per client</act>. <act>sort invoice per vendor</act>. Before<act>enter required info on invoice entry form</act>, <act>attache invoice entry form</act>. Next when<act>obtain missing information</act> the admin office can allocate invoice to deo. Whenever the invoice is not completed , <act>apply red stamp on entry invoice</act>. Otherwise, the admin office enters the info for the SLA and checks the priority. Next<act>check invoice compliance</act>. If the invoice is complete , <act>allocate invoice</act> . Otherwise, if the invoice is not complete, the experience staff should process the non-compliant invoice.; <act> receive invoice </act> <act> sort invoice per client </act> <act> sort invoice per vendor </act> <act> enter required info on the invoice entry form </act> <act> attach invoice entry form to invoice </act> <act> allocate invoice to DEO </act> <path1><act> apply red stamp on entry invoice </act></path1><path2><act> enter info for SLA and check priority </act></path2> <act> check invoice compliance </act> <path1><act> allocate invoice to DEO </act></path1><path2><act> process non-compliant invoice </act></path2>
<act>receive invoice</act>. <act>sort invoice per client</act>. Next<act>sort invoice per vendor</act>. Before<act>enter required info on invoice entry form</act>, <act>attache invoice entry form</act>. When<act>obtain missing information</act> <act>allocate invoice</act>. If the invoice has high priority, <act>send message</act> . Otherwise, the admin office enters the info for the SLA and checks the priority. In the next step,<act>check invoice compliance</act>. If the invoice is complete , <act>allocate invoice</act> . Otherwise, if the invoice is not complete, the admin office calls the client and requests for information.; <act> receive invoice </act> <act> sort invoice per client </act> <act> sort invoice per vendor </act> <act> enter required info on the invoice entry form </act> <act> attach invoice entry form to invoice </act> <act> allocate invoice to DEO </act> <path1><act> send message </act></path1><path2><act> enter info for SLA and check priority </act></path2> <act> check invoice compliance </act> <path1><act> allocate invoice to DEO </act></path1><path2><act> call client and request for information </act></path2>
<act>receive invoice</act>. <act>sort invoice per client</act>. In the next step,<act>sort invoice per vendor</act>. After<act>attache invoice entry form</act>, <act>enter required info on invoice entry form</act>. In the next step,<act>check completeness of invoice</act> after<act>complete invoice</act>. Whenever the invoice is not completed , <act>apply red stamp on entry invoice</act>. If the invoice is considered to be complete, <act>enter info for sla</act>. Next<act>check invoice compliance</act>. If the invoice is complete , <act>allocate invoice</act> . If the invoice is considered to be imcomplete, <act>send postal mail requesting</act> the information to be complete.; <act> receive invoice </act> <act> sort invoice per client </act> <act> sort invoice per vendor </act> <act> attach invoice entry form to invoice </act> <act> enter required info on the invoice entry form </act> <act> check completeness of the invoice </act> <path1><act> apply red stamp on entry invoice </act></path1><path2><act> enter info for SLA and check priority </act></path2> <act> check invoice compliance </act> <path1><act> allocate invoice to DEO </act></path1><path2><act> send postal mail </act></path2>
<act>receive invoice</act>. <act>sort invoice per client</act>. After that,<act>sort invoice per vendor</act>. After<act>attache invoice entry form</act>, <act>enter required info on invoice entry form</act>. Afterwards, the office checks the completeness of the invoice after<act>complete invoice</act>. If the invoice has high priority, <act>send message</act> . If the invoice is complete, <act>enter info for sla</act>. After that,<act>check invoice compliance</act>. In case the invoice is complete , <act>allocate invoice</act> . If the invoice is considered to be imcomplete, <act>call client</act>.; <act> receive invoice </act> <act> sort invoice per client </act> <act> sort invoice per vendor </act> <act> attach invoice entry form to invoice </act> <act> enter required info on the invoice entry form </act> <act> check completeness of the invoice </act> <path1><act> send message </act></path1><path2><act> enter info for SLA and check priority </act></path2> <act> check invoice compliance </act> <path1><act> allocate invoice to DEO </act></path1><path2><act> call client and request for information </act></path2>
In a certain company an invoice process is started. Initially<act>try vendor</act> <act>locate into sap system of company</act>. If the vendor cannot be found, <act>fill new vendor master record</act> . Then if the vendor is already in the system , <act>add sap number</act>s are then entered in the sap system and the process is finished.;  <act> try to locate vendor into SAP system </act> <path1><act> fill in new Vendor Master Record </act></path1> <act> add SAP number to invoice </act>  <path1><act> sort invoices by amount </act></path1><path2><act> sort invoices by vendor </act></path2> <act> enter invoices in SAP system </act>
In a certain company an invoice process is started. Initially<act>try vendor</act> <act>locate into sap system of company</act>. In case the vendor cannot be found, <act>fill new vendor master record</act> . If the vendor is already in the system , <act>add sap number</act>s are then entered in the sap system and the process is finished.;  <act> try to locate vendor into SAP system </act> <path1><act> fill in new Vendor Master Record </act></path1> <act> add SAP number to invoice </act>  <path1><act> sort invoices by amount </act></path1><path2><act> sort invoices by vendor </act></path2> <act> enter invoices in SAP system </act>
In a certain company an invoice process is started. First<act>try vendor</act> <act>locate into sap system of company</act>. If the company is unable to find him, <act>fill new vendor master record</act> . Thereafter if the vendor is already in the system , <act>add sap number</act>s are then entered in the sap system and the process is finished.;  <act> try to locate vendor into SAP system </act> <path1><act> fill in new Vendor Master Record </act></path1> <act> add SAP number to invoice </act>  <path1><act> sort invoices by amount </act></path1><path2><act> sort invoices by vendor </act></path2> <act> enter invoices in SAP system </act>
In a certain company an invoice process is started. The process starts when<act>try vendor</act> <act>locate into sap system of company</act>. If the company is unable to find him, <act>fill new vendor master record</act> . Then if the vendor is already in the system , <act>add sap number</act>s are then entered in the sap system and the process is finished.;  <act> try to locate vendor into SAP system </act> <path1><act> fill in new Vendor Master Record </act></path1> <act> add SAP number to invoice </act>  <path1><act> sort invoices by amount </act></path1><path2><act> sort invoices by vendor </act></path2> <act> enter invoices in SAP system </act>
In a certain company an invoice process is started. First<act>try vendor</act> <act>locate into sap system of company</act>. If the company is unable to find him, <act>fill new vendor master record</act> . Next, if the vendor is already in the system , <act>add sap number</act>s are then entered in the sap system and the process is finished.;  <act> try to locate vendor into SAP system </act> <path1><act> fill in new Vendor Master Record </act></path1> <act> add SAP number to invoice </act>  <path1><act> sort invoices by amount </act></path1><path2><act> sort invoices by vendor </act></path2> <act> enter invoices in SAP system </act>
After this, <act>classify request</act>. If the invoice is considered to be urgent, the invoice has a 1-5 working days time to be done. while if the invoice is non-urgent, this Request has a maximum 24 hr window to be finished.; <act> attach request to invoice </act> <act> put request in internal outbox for new vendors </act> <act> classify request in urgent and non-urgent invoices </act> <path1></path1><path2></path2>
After this, <act>classify request</act>. If the invoice is considered to be urgent, the invoice has a 1-5 working days time to be done. If the invoice is considered to be non-urgent, this Request has a maximum 24 hr window to be finished.; <act> attach request to invoice </act> <act> put request in internal outbox for new vendors </act> <act> classify request in urgent and non-urgent invoices </act> <path1></path1><path2></path2>
After this, <act>classify request</act>. In case the invoice is considered to be urgent, the invoice has a 1-5 working days time to be done. while if the invoice is non-urgent, this Request has a maximum 24 hr window to be finished.; <act> attach request to invoice </act> <act> put request in internal outbox for new vendors </act> <act> classify request in urgent and non-urgent invoices </act> <path1></path1><path2></path2>
After this, <act>classify request</act>. Whenever the invoice is urgent, the invoice has a 1-5 working days time to be done. while if the invoice is non-urgent, this Request has a maximum 24 hr window to be finished.; <act> attach request to invoice </act> <act> put request in internal outbox for new vendors </act> <act> classify request in urgent and non-urgent invoices </act> <path1></path1><path2></path2>
After this, <act>classify request</act>. Whenever the invoice is urgent, the invoice has a 1-5 working days time to be done. while if the invoice is non-urgent, this Request has a maximum 24 hr window to be finished.; <act> attach request to invoice </act> <act> put request in internal outbox for new vendors </act> <act> classify request in urgent and non-urgent invoices </act> <path1></path1><path2></path2>
The process starts when<act>receive subsidiary order</act>. <act>prepare goods</act>. <act>prepare invoicing</act>. In case the customer is subsidiary and the subsidiary relationship is not yet modeled, so: address- management adds parent company as invoicing address. <act>create invoice</act>. Later<act>send invoice</act>.; <act> receive subsidiary order </act> <act> prepare and ship goods </act> <act> prepare invoicing </act> <path1><act> add parenting company as invoicing address </act></path1> <act> create invoice </act> <act> send invoice </act>
The process starts when<act>receive subsidiary order</act>. When<act>prepare goods for shipment</act>, <act>prepare invoicing</act>. In case the customer is subsidiary and the subsidiary relationship is not yet modeled, so: address- management adds parent company as invoicing address. <act>create invoice</act>. <act>send invoice</act>.; <act> receive subsidiary order </act> <act> prepare and ship goods </act> <act> prepare invoicing </act> <path1><act> add parenting company as invoicing address </act></path1> <act> create invoice </act> <act> send invoice </act>
The process starts when<act>receive subsidiary order</act>. When<act>prepare goods for shipment</act>, <act>prepare invoicing</act>. If the customer is subsidiary and the subsidiary relationship is not yet modeled, so: address- <act>add parent company</act>. <act>create invoice</act>. Next,<act>send invoice</act>.; <act> receive subsidiary order </act> <act> prepare and ship goods </act> <act> prepare invoicing </act> <path1><act> add parenting company as invoicing address </act></path1> <act> create invoice </act> <act> send invoice </act>
Initially<act>receive subsidiary order</act>. Before<act>prepare invoicing</act>, <act>prepare goods</act>. If the customer is subsidiary and the subsidiary relationship is not yet modeled, so: address- <act>add parent company</act>. <act>create invoice</act>. Next<act>send invoice</act>.; <act> receive subsidiary order </act> <act> prepare invoicing </act> <act> prepare and ship goods </act> <path1><act> add parenting company as invoicing address </act></path1> <act> create invoice </act> <act> send invoice </act>
First<act>receive subsidiary order</act>. When<act>prepare goods for shipment</act>, <act>prepare invoicing</act>. If the customer is subsidiary and the subsidiary relationship is not yet modeled, so: address- <act>add parent company</act>. <act>create invoice</act>. <act>send invoice</act>.; <act> receive subsidiary order </act> <act> prepare and ship goods </act> <act> prepare invoicing </act> <path1><act> add parenting company as invoicing address </act></path1> <act> create invoice </act> <act> send invoice </act>
Once<act>receive invoice</act>.<act>receive invoice</act> categorizes the invoice by staff member. After that,<act>forward invoice</act>. Before<act>put all invoices</act>, this department processes the invoice (a complex process). <act>enter data in sap system</act>. <act>review system</act> . When<act>invoice</act>, the validation office executes the big process of <act>validate invoices</act>. At the beginning of every week, <act>execute payment of validate invoice</act>, this is another big process. After<act>archive invoices</act>.; <act> receive invoice from client </act> <act> categorize invoice by staff member </act> <act> forward invoice to administration department </act>   <act> take invoices and enter all data in SAP </act> <act> review system </act> <act> forward all new invoices for validation </act> <act> validate invoices </act> <act> execute payment of every validate invoice </act> <act> archive invoices </act>
Once<act>receive invoice</act>.<act>receive invoice</act> categorizes the invoice by staff member. Next,<act>forward invoice</act>. Before<act>put all invoices</act>, this department processes the invoice (a complex process). <act>enter data in sap system</act>. <act>review system</act> . When<act>invoice</act>, the validation office executes the big process of <act>validate invoices</act>. At the beginning of every week, <act>execute payment of validate invoice</act>, this is another big process. After<act>archive invoices</act>.; <act> receive invoice from client </act> <act> categorize invoice by staff member </act> <act> forward invoice to administration department </act>   <act> take invoices and enter all data in SAP </act> <act> review system </act> <act> forward all new invoices for validation </act> <act> validate invoices </act> <act> execute payment of every validate invoice </act> <act> archive invoices </act>
Once<act>receive invoice</act>.<act>receive invoice</act> categorizes the invoice by staff member. Next,<act>forward invoice</act>. Before<act>put all invoices</act>, this department processes the invoice (a complex process). <act>enter data in sap system</act>. <act>review system</act> . Before the validation office executes the big process of <act>validate invoices</act>, <act>invoice</act>. At the beginning of every week, <act>execute payment of validate invoice</act>, this is another big process. After<act>archive invoices</act>.; <act> receive invoice from client </act> <act> categorize invoice by staff member </act> <act> forward invoice to administration department </act>   <act> take invoices and enter all data in SAP </act> <act> review system </act> <act> validate invoices </act> <act> forward all new invoices for validation </act> <act> execute payment of every validate invoice </act> <act> archive invoices </act>
Once<act>receive invoice</act>.<act>receive invoice</act> categorizes the invoice by staff member. After that,<act>forward invoice</act>. After that, this department processes the invoice (a complex process). Next<act>put all invoices</act>. <act>enter data in sap system</act>. <act>review system</act> . After that,<act>invoice</act>. Thereafter<act>execute big process of</act> <act>validate invoices</act>. At the beginning of every week, <act>execute payment of validate invoice</act>, this is another big process. After<act>archive invoices</act>.; <act> receive invoice from client </act> <act> categorize invoice by staff member </act> <act> forward invoice to administration department </act>   <act> take invoices and enter all data in SAP </act> <act> review system </act> <act> forward all new invoices for validation </act> <act> validate invoices </act> <act> execute payment of every validate invoice </act> <act> archive invoices </act>
Once<act>receive invoice</act>.<act>receive invoice</act> categorizes the invoice by staff member. After that,<act>forward invoice</act>. Before<act>put all invoices</act>, this department processes the invoice (a complex process). <act>enter data in sap system</act>. <act>review system</act> . Before the validation office executes the big process of <act>validate invoices</act>, <act>invoice</act>. At the beginning of every week, <act>execute payment of validate invoice</act>, this is another big process. After<act>archive invoices</act>.; <act> receive invoice from client </act> <act> categorize invoice by staff member </act> <act> forward invoice to administration department </act>   <act> take invoices and enter all data in SAP </act> <act> review system </act> <act> validate invoices </act> <act> forward all new invoices for validation </act> <act> execute payment of every validate invoice </act> <act> archive invoices </act>
The process starts when<act>notify the</act>. The drop-off tech checks for typos. If no typos can be found, <act>correct mistake</act>. If typos are found, <act>scour for solutions</act>. As soon as any check was passed, the issue is considered resolved.; <act> notify IS about data validation error </act> <act> check for typos </act> <path1><act> check if customer can correct the mistake </act></path1><path2><act> scour public sources for solutions </act></path2> 
First<act>notify the</act>. After that, the drop-off tech checks for typos. If this is not the case, <act>correct mistake</act>. If typos are found, <act>scour for solutions</act>. As soon as any check was passed, the issue is considered resolved.; <act> notify IS about data validation error </act> <act> check for typos </act> <path1><act> check if customer can correct the mistake </act></path1><path2><act> scour public sources for solutions </act></path2> 
The process starts when<act>notify the</act>. Later the drop-off tech checks for typos. Whenever no typos can be found, <act>correct mistake</act>. In case typos are found, <act>scour for solutions</act>. As soon as any check was passed, the issue is considered resolved.; <act> notify IS about data validation error </act> <act> check for typos </act> <path1><act> check if customer can correct the mistake </act></path1><path2><act> scour public sources for solutions </act></path2> 
First<act>notify the</act>. After that, the drop-off tech checks for typos. If no typos can be found, <act>correct mistake</act>. Otherwise, public sources are scoured for solutions. As soon as any check was passed, the issue is considered resolved.; <act> notify IS about data validation error </act> <act> check for typos </act> <path1><act> check if customer can correct the mistake </act></path1><path2><act> scour public sources for solutions </act></path2> 
The process starts when<act>notify the</act>. The drop-off tech checks for typos. If no typos can be found, <act>correct mistake</act>. <act>scour for solutions</act>. As soon as any check was passed, the issue is considered resolved.; <act> notify IS about data validation error </act> <act> check for typos </act> <path1><act> check if customer can correct the mistake </act></path1><path2><act> scour public sources for solutions </act></path2> 
A client who wants <act>create paypal account</act> first needs <act>determine desired account type</act>. A client who wants <act>create paypal account</act> should either select a personal account or a premium account. Then<act>enter login details such as email address and desired password personal details such as name and date of birth as well as telephone number and address</act>. the client needs <act>declare </act> if the client has been affiliated with any politically exposed person. <act>click create account button</act>. <act>send details</act>. Later<act>validate input fields</act>. If any fields are invalid, <act>notify client</act> . In case no fields are found to be invalid, <act>generate welcome email</act> to indicate that an account has been created.; <act> determine desired account type </act>  <act> enter login details </act> <act> declare if been affiliated with any politically exposed person </act> <act> click create button </act> <act> send details to Paypal system </act> <act> validate input details </act> <path1><act> notify client </act></path1><path2><act> generate and send welcome mail </act></path2>
